name	id	type	center atoms	nucleotide
Ascorbic acid	ASC	Ascorbic acid	all	na
Ascorbic acid	ISD	Ascorbic acid	all	na
Biopterin	4AB	Biopterin	all	na
Biopterin	7AP	Biopterin	all	na
Biopterin	BHS	Biopterin	all	na
Biopterin	BIO	Biopterin	all	na
Biopterin	H2B	Biopterin	all	na
Biopterin	H4B	Biopterin	all	na
Biopterin	HBI	Biopterin	all	na
Biotin	BT5	Biotin	S1B	O4';N1
Biotin	41M	Biotin	S7	na
Biotin	B1R	Biotin	S1	na
Biotin	B4F	Biotin	S1	na
Biotin	B9P	Biotin	S1	na
Biotin	BC4	Biotin	SAK	na
Biotin	BH7	Biotin	S7	na
Biotin	BNI	Biotin	S1	na
Biotin	BSO	Biotin	S1	na
Biotin	BTN	Biotin	S1	na
Biotin	BTQ	Biotin	S1	na
Biotin	BTX	Biotin	S1B	na
Biotin	BYY	Biotin	S1	na
Biotin	GBO	Biotin	S1	na
Biotin	IMI	Biotin	S1	na
Biotin	SHM	Biotin	S7	na
Biotin	SNR	Biotin	S7	na
Co-A	52O	Co-A	S1	O1;N4
Co-A	BCO	Co-A	S1	O1;N4
Co-A	IVC	Co-A	S1	O1;N4
Co-A	1VU	Co-A	S	O11;N5
Co-A	2CP	Co-A	S	O4';N1
Co-A	3CP	Co-A	S	O4';N1
Co-A	COW	Co-A	S	O4';N1
Co-A	HXC	Co-A	S	O4';N1
Co-A	MCA	Co-A	S	O4';N1
Co-A	MLC	Co-A	S	O4';N1
Co-A	OXK	Co-A	S	O4';N1
Co-A	SCA	Co-A	S	O4';N1
Co-A	SOP	Co-A	S	O4';N1
Co-A	UCC	Co-A	S	O4';N1
Co-A	01A	Co-A	S1P	O4A';N1A
Co-A	JBT	Co-A	S1P	O4B;N1
Co-A	2MC	Co-A	S1P	O4B;N1A
Co-A	3HC	Co-A	S1P	O4B;N1A
Co-A	3KK	Co-A	S1P	O4B;N1A
Co-A	4BN	Co-A	S1P	O4B;N1A
Co-A	CAA	Co-A	S1P	O4B;N1A
Co-A	CAO	Co-A	S1P	O4B;N1A
Co-A	CO6	Co-A	S1P	O4B;N1A
Co-A	CO8	Co-A	S1P	O4B;N1A
Co-A	COA	Co-A	S1P	O4B;N1A
Co-A	COF	Co-A	S1P	O4B;N1A
Co-A	COK	Co-A	S1P	O4B;N1A
Co-A	COS	Co-A	S1P	O4B;N1A
Co-A	COZ	Co-A	S1P	O4B;N1A
Co-A	CS8	Co-A	S1P	O4B;N1A
Co-A	FRE	Co-A	S1P	O4B;N1A
Co-A	HDC	Co-A	S1P	O4B;N1A
Co-A	HMG	Co-A	S1P	O4B;N1A
Co-A	MDE	Co-A	S1P	O4B;N1A
Co-A	MRR	Co-A	S1P	O4B;N1A
Co-A	MRS	Co-A	S1P	O4B;N1A
Co-A	RFC	Co-A	S1P	O4B;N1A
Co-A	SFC	Co-A	S1P	O4B;N1A
Co-A	SPF	Co-A	S1P	O4B;N1A
Co-A	ST9	Co-A	S1P	O4B;N1A
Co-A	0FQ	Co-A	S1P	O4D;N1A
Co-A	4CA	Co-A	S1P	O4D;N1A
Co-A	4CO	Co-A	S1P	O4D;N1A
Co-A	BCA	Co-A	S1P	O4D;N1A
Co-A	BYC	Co-A	S1P	O4D;N1A
Co-A	FAQ	Co-A	S1P	O4D;N1A
Co-A	HFQ	Co-A	S1P	O4D;N1A
Co-A	COO	Co-A	S1	O4X;N1A
Co-A	GRA	Co-A	S1	O4X;N1A
Co-A	01K	Co-A	S20	O60;N57
Co-A	LYX	Co-A	S20	O61;N58
Co-A	COD	Co-A	O17	S44;N1
Co-B	TP7	Co-B	S7	na
Co-M	COM	Co-M	S2	na
Flavin adenine dinucleotide	FAD	Flavin	N5;C5A;C6;C7;C8;C9;C9A;N10;C10;N1;C2;02;N3;C4;04;C4A	O4B;N1A
Flavin mononucleotide	FMN	Flavin	N5;C5X;C6;C7;C8;C9;C9A;N10;C10;N1;C2;02;N3;C4;04;C4X	na
Glutathione	GSH	Glutathione	SG2	na
Menaquinone	MQ7	Quinone	O1;C1;C10;C9;C8;C7;C6;C5;C4;O4;C3;C2	na
Menaquinone	MQ8	Quinone	O1;C1;C10;C9;C8;C7;C6;C5;C4;O4;C3;C2	na
Menaquinone	MQ9	Quinone	C1;O1;C2;C3D;C3C;C3B;C3A;C3;C4;O4;C5;C6	na
MIO-factor	MDO	MIO-factor	C1;N3;C2;CA2;N2	na
Molybdopterin	2MD	Molybdopterin	C7;011;C11;C12;S12;C13;S13;C14;N15;C16;C15;O14;N17;C17;16;N18;C20;N8	O11;N1
