IDs	length	Exptl.	resolution	R-factor	FreeRvalue
2AXPA	173	XRAY	2.5	0.26	0.29
3HL4A	236	XRAY	2.2	0.22	0.27
4LSPL	210	XRAY	2.15	0.18	0.21
4HKTA	331	XRAY	2	0.19	0.23
3N9XA	432	XRAY	2.05	0.19	0.23
2OKLA	185	XRAY	1.7	0.23	0.26
3GE5A	198	XRAY	1.7	0.15	0.17
1B4JL	214	XRAY	2.9	0.19	0.33
3E2QA	551	XRAY	1.75	0.2	0.23
3BOMA	143	XRAY	1.35	0.17	0.21
4QYSA	442	XRAY	1.94	0.2	0.25
5DJBA	99	XRAY	1.8	0.18	0.2
4HZ8A	444	XRAY	1.14	0.14	0.16
5KBEA	229	XRAY	2.5	0.18	0.24
6ATRA	221	XRAY	1.29	0.17	0.18
4D8MA	587	XRAY	2.3	0.23	0.22
3FG2P	404	XRAY	2.2	0.21	0.26
1EZIA	228	XRAY	2	0.21	0.26
1ZWYA	185	XRAY	1.9	0.18	0.23
3ZG9A	47	XRAY	1.8	0.18	0.21
1QAHA	136	XRAY	1.8	0.19	0.28
5C7JC	92	XRAY	3	0.23	0.28
4ECLA	374	XRAY	2.02	0.18	0.23
2V5TA	189	XRAY	2	0.18	0.23
5D1IA	131	XRAY	2	0.19	0.23
1QKKA	155	XRAY	1.7	0.22	0.24
2YOPA	198	XRAY	2.3	0.19	0.23
3M0UA	62	XRAY	1.1	0.16	0.17
1MJ5A	302	XRAY	0.95	0.11	0.14
4HHFA	66	XRAY	1.8	0.19	0.2
2XDQB	511	XRAY	2.4	0.2	0.26
3PT8B	152	XRAY	1.76	0.2	0.23
3Q13A	258	XRAY	1.95	0.17	0.21
2R2DA	276	XRAY	1.75	0.16	0.21
4PKMA	309	XRAY	1.65	0.18	0.2
3D3ZA	247	XRAY	1.7	0.19	0.23
1RILA	166	XRAY	2.8	0.2	1
3HNYM	159	XRAY	1.07	0.2	0.2
4NP6A	217	XRAY	2	0.19	0.22
3HBCA	320	XRAY	2.27	0.19	0.23
2YJTD	170	XRAY	2.9	0.2	0.26
1LFKA	398	XRAY	1.7	0.2	0.23
1U0TA	307	XRAY	2.3	0.23	0.29
4PY3A	241	XRAY	2.35	0.24	0.26
4MT8A	102	XRAY	1.9	0.2	0.23
5VIPB	287	XRAY	1.86	0.18	0.21
5IU1A	116	XRAY	1.7	0.16	0.2
1PA2A	306	XRAY	1.45	0.15	0.19
5AYEA	335	XRAY	2.2	0.17	0.21
4Q7GA	324	XRAY	1.7	0.17	0.2
2YXNA	322	XRAY	1.8	0.2	0.25
4DEJA	231	XRAY	2.9	0.21	0.28
3AFGA	539	XRAY	2	0.18	0.24
1QBJA	81	XRAY	2.1	0.23	0.27
4C3SA	445	XRAY	1.64	0.15	0.17
3T8JA	311	XRAY	1.6	0.16	0.17
5WK0A	163	XRAY	1.33	0.15	0.19
2IQYA	190	XRAY	1.4	0.15	0.19
3SIBA	220	XRAY	1.9	0.16	0.19
4A1RA	149	XRAY	1.92	0.22	0.29
2O6SA	208	XRAY	1.5	0.19	0.21
4W88A	340	XRAY	1.58	0.13	0.16
2I3TB	54	XRAY	2.8	0.24	0.27
3GYLB	261	XRAY	1.3	0.15	0.18
2PNLA	203	XRAY	2.21	0.2	0.27
5B66B	505	XRAY	1.85	0.16	0.2
3QJHB	243	XRAY	1.9	0.23	0.26
5JH8A	317	XRAY	1.02	0.13	0.15
1YMGA	263	XRAY	2.24	0.25	0.3
1AEPA	161	XRAY	2.7	0.21	1
4U4RS7	189	XRAY	2.8	0.21	0.25
